课型,主讲,课程标题,时长（分钟）,本讲课程重点内容,主讲PPT,会销PPT,运营节奏,视频ID,旧版视频ID
0元3升4,高远,寻找奥兹大作战——“泰式礼仪法”表看法评价,44分钟正课,"1、课堂收获：认识新伙伴狮子，了解狮子的心愿；解决一路上遇到的危险并最终到达绿宝石城，面见奥兹；学会认识自己，通过自己的力量实现心愿的道理。

2、阅读量：1300

3、精读收获：深刻的主旨——实现心愿的力量，其实一直在自己身上。

4、阅写方法及迁移运用：“泰式礼仪法”——通过表明态度、说明事件、分析道理、提出建议来帮助学生表达出对某一事件/行为的看法和评价。运用“泰式礼仪法”解决阅读理解中发表看法评价类题目。",01寻找奥兹大作战——“泰式礼仪法”表看法评价.pdf,,行课,264765,
,,邪恶女巫使阴谋——“法国点心法”赏析修辞,46分钟正课,"1、课堂收获：与多萝西一行人智斗坏女巫，揭穿奥兹的真实面目；懂得不要迷信权威，要靠自己寻求真相的道理。

2、阅读量：1200

3、精读收获：高级的手法——“法国点心法”赏析修辞。

4、阅写方法及迁移运用：运用“法国点心法”解决阅读理解中的修辞赏析类题目。",02邪恶女巫使阴谋——“法国点心法”赏析修辞.pdf,,行课,264791,
,,实现心愿大冒险——“困难折线法”写想象文,44分钟正课,"1、课堂收获：和多萝西一起实现回家的梦想，实现三位伙伴的心愿，并回顾整段旅程；了解成长就是从依赖他人到相信自己的过程的道理。

2、阅读量：1400

3、精读收获：“困难折线法”写想象文——通过“遇到困难——构思方法”的反复结构创编想象文

4、阅写方法及迁移运用：运用“困难折线法”创作三下第五单元习作《奇妙的想象》片段",03实现心愿大冒险——“困难折线法”写想象文.pdf,【进校】三升四年级0元大阅读-高远老师家长会1.pptx,转化,268251,
,,治世之能臣 ，乱世之奸雄——曹操,45分钟正课,"1.课程收获：学习《三国演义》的作者及文学常识，了解曹操奸诈狡猾且勇猛善战的立体形象，学会辩证地看待一个人。

2.阅读量： 1200字

3.方法点拨：会用环形图法概述故事并表达。",04治世之能臣 ，乱世之奸雄——曹操.pdf,【进校】三升四年级0元大阅读-高远老师家长会2.pptx,转化,268274,
,,英雄莫问出处，匡扶汉室之路——刘备,45分钟正课,"1.课程收获：了解刘备弘毅宽厚、知人善任的品质，学习人物分析的方法并进行双气泡图绘制，对比两位人物的异同。

2.阅读量： 1100字

3.方法点拨：""曹操和刘备，你想跟随谁打天下？""观点圆桌会。",05英雄莫问出处，匡扶汉室之路——刘备.pdf,【进校】三升四年级0元大阅读-高远老师家长会3（毕业典礼）.pptx,转化,268291,
0元4升5,张驰,叛逆富少离家出走——“法国点心法”赏析修辞,1小时6分钟,"1.课堂收获：掌握《鲁滨逊漂流记》的作品作者信息；梳理鲁滨逊四次冒险经历，感受其坚强不屈，百折不挠的精神；了解航海大时代的时代背景。

2.阅读量：2800字

3.精读收获：立体的人物——勇敢无畏、坚韧不拔的鲁滨逊

4.阅写方法及迁移运用：“法国点心法”赏析修辞表达效果；运用“法国点心法”解答阅读理解中的修辞赏析题。",01叛逆富少离家出走——“法国点心法”赏析修辞.pdf,,行课,,264835
,,落魄商人荒岛求生——“法式店铺法”鉴赏人物描写,1小时6分钟,"1.课堂收获：了解鲁滨逊如何凭借智慧与行动在荒岛上生存，并成功建立属于自己的生活基地。

2.阅读量：2900字

3.精读收获：深刻的主旨——从鲁滨逊荒岛求生看人类发展历程

4.阅写方法及迁移运用：“法式店铺法”鉴赏人物描写；运用“法式店铺法”解答阅读理解中的鉴赏人物描写题。",02落魄商人荒岛求生——“法式店铺法”鉴赏人物描写.pdf,,行课,,264870
,,异乡浪人重归文明——“困难制造法”写成长类作文,1小时4分钟,"1.课堂收获：了解鲁滨逊离开荒岛的过程，以及重返家乡后的生活变化；理清全书故事内容，感受鲁滨逊的品质和人类的发展。

2.阅读量：2500字

3.精读收获：高级的手法——“困难制造法”写成长类作文

4.阅写方法及迁移运用：运用“困难制造法”写四年级常考成长类作文。",03异乡浪人重归文明——“困难制造法”写成长类作文.pdf,【进校】0元大阅读-张驰老师家长会1.pptx,转化,,266499
,,"粗中有细，花和尚鲁智深
",45分钟正课,"1.课程收获：了解《水浒传》的作品及作者信息；了解鲁智深的基本信息，探究鲁智深拳打镇关西的故事情节及前因后果，多角度赏析鲁智深的人物形象；学习“感觉放大器”的创作方法。

2.阅读量：1400字

3.方法点拨：”感觉放大器“创作方法",04粗中有细，花和尚鲁智深.pdf,【进校】0元大阅读-张驰老师家长会2.pptx,转化,,266540
,,忍辱负重，豹子头林冲,45分钟正课,"1.课程收获：了解林冲的基本信息，探索林冲误入白虎堂、发配沧州以及风雪山神庙的过程；通过赏读文本，掌握环境描写的作用。

2.阅读量： 1500字

3.方法点拨：环境描写的作用",05忍辱负重，豹子头林冲.pdf,【进校】0元大阅读-张驰老师家长会3（结课典礼）.pptx,转化,266537,
